"title","link","image","director","country","year","description"
"Pitfall","https://www.criterionchannel.com/pitfall","https://vhx.imgix.net/criterionchannelchartersu/assets/831845c0-b536-43fb-a776-c7526ecf4b78.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hiroshi Teshigahara","Japan,","1962","Directed by Hiroshi Teshigahara • 1962 • Japan
Starring Hisashi Igawa, Kunie Tanaka, Hideo Kanze

When a miner leaves his employers and treks out with his young son to become a migrant worker, he finds himself moving from one eerie landscape to another, intermittently followed (and photographed) by an enigmatic man in a clean, white suit, and eventually coming face-to-face with his inescapable destiny. Hiroshi Teshigahara’s debut feature and first collaboration with novelist Kobo Abe, PITFALL is many things: a mysterious, unsettling ghost story, a portrait of human alienation, and a compellingly surreal critique of soulless industry, shot in elegant black and white."
"Pivot","https://www.criterionchannel.com/pivot","https://vhx.imgix.net/criterionchannelchartersu/assets/c2ccc8a9-64cf-4ade-8117-21bfd698d3fa.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Tarona","Netherlands,","2020","Directed by Tarona • 2020 • Netherlands

A hypnotic dance piece considers questions of race, performance, power, and the gaze."
"Pixote","https://www.criterionchannel.com/pixote","https://vhx.imgix.net/criterionchannelchartersu/assets/eebf5563-b4ff-4f1f-bd6e-030561f3281a-75d4cc15.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Héctor Babenco","Brazil,","1980","Martin Scorsese’s World Cinema Project

Directed by Héctor Babenco • 1981 • Brazil
Starring Fernando Ramos da Silva, Jorge Julião, Gilberto Moura

With its bracing blend of unflinching realism and aching humanity, Héctor Babenco’s electrifying look at lost youth fighting to survive on the bottom rung of Brazilian society helped put the country’s cinema on the international map. Shot with documentary-like immediacy on the streets of São Paulo and Rio de Janeiro, PIXOTE follows the eponymous preteen runaway (the heartbreaking Fernando Ramos da Silva, whose own too-short life tragically mirrored that of his character) as he escapes a nightmarish juvenile detention center only to descend into a life of increasingly violent crime alongside a makeshift family of fellow outcasts. Balancing its shocking brutality with moments of tenderness, this stunning journey through Brazil’s underworld is an unforgettable cry from the lower depths that has influenced multiple generations of filmmakers, including Spike Lee, Harmony Korine, and the Safdie brothers."
"Place de la République","https://www.criterionchannel.com/place-de-la-republique","https://vhx.imgix.net/criterionchannelchartersu/assets/f54678a1-1eba-428d-a86e-603531e7b318.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Louis Malle","France,","1974","Directed by Louis Malle • 1974 • France

Louis Malle presents his entertaining snapshot of the comings and goings on one street corner in Paris. This, Vive le Tour, and Humain, trop humain, Malle&#39;s three French-set documentaries, reveal, in an eclectic array of ways, the director&#39;s eternal fascination with, and respect for, the everyday lives of everyday people."
"A Place of Rage","https://www.criterionchannel.com/a-place-of-rage","https://vhx.imgix.net/criterionchannelchartersu/assets/f580e3e3-cfb1-4ace-8cb6-6ecae1d4cc93.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Pratibha Parmar","United States,","1991","Directed by Pratibha Parmar • 1991 • United States
Starring Angela Davis, Alice Walker, June Jordan

Featuring enlightening interviews with Angela Davis, June Jordan, and Alice Walker, this essential documentary is an exuberant celebration of Black American women and their achievements. Within the context of the civil rights, Black power, feminist, and LGBT movements, the trio reassess how women such as Rosa Parks and Fannie Lou Hamer revolutionized American society and the world. Featuring the music of Prince, Janet Jackson, the Neville Brothers, and the Staple Singers, A PLACE OF RAGE illuminates a stirring moment in American history from the perspective of those on the forefront of social change."
"A Place on the Edge of Breath","https://www.criterionchannel.com/a-place-on-the-edge-of-breath","https://vhx.imgix.net/criterionchannelchartersu/assets/736a82ae-a4bf-4bf4-a359-ba586c3553a1.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Veronica Rutledge","United States,","2022","Directed by Veronica Rutledge • 2022 • United States

A PLACE ON THE EDGE OF BREATH is a moving window into the relationship between Ava Fiadh and Shaawan Francis as they share some of their most intimate moments during life and gender transitions over the course of a year."
"Plácido","https://www.criterionchannel.com/placido","https://vhx.imgix.net/criterionchannelchartersu/assets/f0d5022c-32a6-4673-9f2b-25c161262390.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Luis García Berlanga","Spain,","1961","Directed by Luis García Berlanga • 1961 • Spain
Starring Cassen, José Luis López Vázquez, Elvira Quintillá

Widely considered one of the greatest works of Spanish cinema, this relentlessly paced satire chronicles an ill-advised charity campaign sweeping across a small industrial town on Christmas Eve. The brainchild of attention-hungry society women, the holiday initiative encourages wealthy citizens to break bread with the less fortunate—“if only for one night.” As the festivities devolve into a grotesque media frenzy, a struggling family man enlisted to help on the project desperately tries to make a payment on his three-wheeler before it is repossessed. Marking the start of Berlanga’s fruitful collaboration with screenwriter Rafael Azcona, this delightfully cacophonous takedown of upper-class hypocrisy unfolds in expertly choreographed long takes that showcase the director as a master of comedic mischief."
"Le plaisir","https://www.criterionchannel.com/le-plaisir","https://vhx.imgix.net/criterionchannelchartersu/assets/149187a9-1865-49a6-bd0b-1f437b55bed5.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Max Ophuls","France,","1952","Directed by Max Ophuls • 1952 • France
Starring Danielle Darrieux, Jean Gabin, Simone Simon

Roving with his dazzlingly mobile camera around the decadent ballrooms, bucolic countryside retreats, urban bordellos, and painter&#39;s studios of late nineteenth-century French life, Max Ophuls brings his astonishing visual dexterity and storytelling bravura to this triptych of tales by Guy de Maupassant about the limits of spiritual and physical pleasure. Featuring a stunning cast of French stars (including Danielle Darrieux, Jean Gabin, and Simone Simon), LE PLAISIR pinpoints the cruel ironies and happy compromises of life with a charming and sophisticated breeziness."
"Plaisir d’amour en Iran","https://www.criterionchannel.com/plaisir-d-amour-en-iran","https://vhx.imgix.net/criterionchannelchartersu/assets/7a5f2e75-ac6c-42fa-b0a0-d9054d879182-d5a98d99.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Agnès Varda","France,","1977","Directed by Agnès Varda • 1977 • France
Starring Valérie Mairesse, Ali Rafie

In this 1977 short film by Agnès Varda, Pauline and Darius explore the city of Isfahan, Iran."
"Plan 75","https://www.criterionchannel.com/plan-75","https://vhx.imgix.net/criterionchannelchartersu/assets/adaf1c19-6107-4b4a-96dc-1f6736c3c7c5.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Chie Hayakawa","Japan,","2022","Directed by Chie Hayakawa • 2022 • Japan, Philippines
Starring Chieko Baisho, Hayato Isomura, Stefanie Arianne

In a dystopian future, Japan’s government launches Plan 75, a program encouraging the elderly to terminate their own lives to relieve its rapidly aging population’s social and economic burdens. In Chie Hayakawa’s remarkable and sensitive feature debut, the lives of three ordinary citizens—an elderly woman no longer able to live independently (the legendary Chieko Baisho, in a moving late-career performance), an initially eager Plan 75 salesman (Hayato Isomura), and an immigrant care worker (Stephanie Arianne)—intersect in this new reality as they confront the crushing callousness of a world ready to dispose of those no longer deemed valuable. Hayakawa’s view is far from grim, however, as these characters soon learn to fully reckon with their own lives and what it truly means to live."
"Platform","https://www.criterionchannel.com/platform","https://vhx.imgix.net/criterionchannelchartersu/assets/56e08177-a9fd-47a8-b818-8063e986548b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jia Zhangke","China,","2000","Directed by Jia Zhang-Ke • 2000 • China
Starring Wang Hongwei, Zhao Tao, Liang Jingdong

One of the first masterpieces of twenty-first century cinema, Jia Zhang-Ke’s sophomore feature is an at once epic and intimate vision of the changing China of the 1980s. Unfolding between 1979 and 1990, PLATFORM centers around a provincial theater troupe who go from performing Maoist propaganda as the Fenyang Peasant Culture Group to playing western-influenced pop music as the All-Star Rock and Breakdance Electronic Band—along the way finding themselves increasingly adrift in a society suspended between tradition and modernization."
"Play","https://www.criterionchannel.com/play","https://vhx.imgix.net/criterionchannelchartersu/assets/44cb26a7-4e22-4d61-b761-f9e3b3b1b47d.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ruben Östlund","Sweden,","2011","Directed by Ruben Östlund • 2011 • Sweden
Starring Anas Abdirahman, Sebastian Blyckert, Yannick Diakité

Based on real events, this provocative exploration of group and racial dynamics centers on a band of Black teenagers in Gothenburg who concoct an elaborate game of deception, manipulation, and humiliation in order to steal cell phones from white and Asian Swedish boys. Explosively controversial in Sweden for its interrogation of the relationship between race and power, PLAY finds Östlund at his most challenging and unsettling."
"The Player","https://www.criterionchannel.com/the-player","https://vhx.imgix.net/criterionchannelchartersu/assets/2760b7e7-7b40-404b-8f9d-0f596fee636a.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Robert Altman","United States,","1992","Directed by Robert Altman • 1992 • United States
Starring Tim Robbins, Greta Scacchi, Fred Ward

A Hollywood studio executive with a shaky moral compass (Tim Robbins) finds himself caught up in a criminal situation that would be right at home in one of his movie projects, in this biting industry satire from Robert Altman. Mixing elements of film noir with sly insider comedy, THE PLAYER, based on a novel by Michael Tolkin, functions as both a nifty stylish murder story and a commentary on its own making, and it is stocked with a heroic supporting cast (Peter Gallagher, Whoopi Goldberg, Greta Scacchi, Dean Stockwell, Fred Ward) and a lineup of star cameos that make for an astonishing Hollywood who&#39;s who. This complexly woven grand entertainment (which kicks off with one of American cinema&#39;s most audacious and acclaimed opening shots) was the film that marked Altman&#39;s triumphant commercial comeback in the early 1990s."
"PlayTime","https://www.criterionchannel.com/playtime","https://vhx.imgix.net/criterionchannelchartersu/assets/92cb1bd3-33d8-4713-85cd-27ad484de84f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jacques Tati","Italy,","1967","Directed by Jacques Tati • 1967 • France
Starring Jacques Tati, Barbara Dennek, Georges Montant

Jacques Tati’s gloriously choreographed, nearly wordless comedies about confusion in an age of high technology reached their apotheosis with PLAYTIME. For this monumental achievement, a nearly three-year-long, bank-breaking production, Tati again thrust the lovably old-fashioned Monsieur Hulot, along with a host of other lost souls, into a baffling modern world, this time Paris. With every inch of its superwide frame crammed with hilarity and inventiveness, PLAYTIME is a lasting record of a modern era tiptoeing on the edge of oblivion."
"Pleasant Grove","https://www.criterionchannel.com/pleasant-grove","https://vhx.imgix.net/criterionchannelchartersu/assets/a8a0dad3-d12a-4a9b-a86a-c8a6c1fffecb.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","David Gordon Green","United States,","1997","Directed by David Gordon Green • 1996 • United States

Shot in 1996, when director David Gordon Green was a student at the North Carolina School of the Arts, PLEASANT GROVE was the inspiration for GEORGE WASHINGTON. The film is presented here with commentary by Green, cinematographer Tim Orr, and actor Paul Schneider."
"Please Speak Continuously and Describe Your Experiences as They Come to You","https://www.criterionchannel.com/please-speak-continuously-and-describe-your-experiences-as-they-come-to-you","https://vhx.imgix.net/criterionchannelchartersu/assets/c1e62703-ad38-4c9e-9ebb-d49d5e106573-3cd97c73.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Brandon Cronenberg","Canada,","2010","Directed by Brandon Cronenberg • 2010 • Canada
Starring Deragh Campbell, Neil Bennett, Ian Goff

After she undergoes an experimental brain procedure, a psychiatric patient finds the boundaries between her reality and her nightmares collapsing in this surreally disturbing science-fiction freak-out."
"Pleasures of the Flesh","https://www.criterionchannel.com/pleasures-of-the-flesh","https://vhx.imgix.net/criterionchannelchartersu/assets/2a5e0308-9300-4a21-9236-add49af6332a.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Nagisa Oshima","Japan,","1965","Directed by Nagisa Oshima • 1965 • Japan

A corrupt businessman blackmails the lovelorn reprobate Atsushi into watching over his suitcase full of embezzled cash while he serves a jail sentence. Rather than wait for the man to retrieve his money, however, Atsushi decides to spend it all in one libidinous rush, fully expecting to be tracked down and killed. Oshima&#39;s dip into the waters of the popular soft-core &quot;pink film&quot; genre is a compelling journey into excess."
"The Plot Against Harry","https://www.criterionchannel.com/the-plot-against-harry","https://vhx.imgix.net/criterionchannelchartersu/assets/9497e87d-8e88-428c-a930-d937491bbc89.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Michael Roemer","United States,","1969","Directed by Michael Roemer • 1969 • United States
Starring Martin Priest, Ben Lang, Maxine Woods

A treasure of American independent filmmaking that was neglected for decades until its triumphant rediscovery, writer-director-producer Michael Roemer’s feature follow-up to his landmark NOTHING BUT A MAN is a wryly observed, delectably deadpan comedy set in the world of New York’s Jewish community and the small-time mobsters operating within it. After two decades behind bars, low-level racketeer Harry Plotnick (memorably cow-eyed Martin Priest) is released into a changed city he hardly recognizes. As he attempts to reconnect with his estranged family, he finds himself launched on a subtly surreal journey through an unfamiliar, middle-class world that seems to have no place for him."
"The Plough and the Stars","https://www.criterionchannel.com/the-plough-and-the-stars","https://vhx.imgix.net/criterionchannelchartersu/assets/d6f75b77-6f36-4c23-88bd-96b9aba40ff8.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","John Ford","United States,","1936","Directed by John Ford • 1936 • United States

A husband clashes with his wife over his membership to the Irish Citizen Army when she burns a letter informing him of a promotion."
"Plucking the Daisy","https://www.criterionchannel.com/plucking-the-daisy","https://vhx.imgix.net/criterionchannelchartersu/assets/e9451271-fb58-4687-9913-47d548ff818c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Marc Allégret","France,","1956","Directed by Marc Allégret • 1956 • France

When ultra-respectable General Dumont discovers that his nubile daughter Agnes is &quot;A.D.&quot;, author of a scandalous under-the-counter novel, he wants her shipped to a convent; but she escapes to Paris, planning to live with her brother, ostensibly a rich artist but really a poor guide in the Balzac Museum. This misunderstanding gets both in serious trouble, and puts Agnes in immediate need of money...just the amount offered as grand prize in an amateur striptease contest, which her new boyfriend, reporter Daniel, is covering for his magazine..."
"The Plumber","https://www.criterionchannel.com/the-plumber","https://vhx.imgix.net/criterionchannelchartersu/assets/2c0cc2f9-59ff-4756-8a33-e439c3a67766.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Peter Weir","Australia,","1979","Directed by Peter Weir • 1979 • Australia

A mysterious tradesman (Ivar Kants) shows up unbidden at the home of an academic couple (Judy Morris, Robert Colby) and proceeds over the next few days to disassemble their bathroom and related fixtures. The wife seems particularly disturbed by the man&#39;s presence and work habits, but both soon find the underpinnings of their intellectual lives and self-image being dismantled along with their pipes, walls, and ceilings in this offbeat Australian comedy."
"The Pocketbook","https://www.criterionchannel.com/the-pocketbook","https://vhx.imgix.net/criterionchannelchartersu/assets/9af8e061-92d0-4a37-a781-c7dc4f411c67.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Billy Woodberry","United States,","1980","Directed by Billy Woodberry • 1980 • United States
Starring Ray Cherry, David Jenkins, Ella &quot;Simi&quot; Nelson

Adapted from Langston Hughes’s classic short story “Thank You, Ma’am,” Billy Woodberry’s UCLA student film follows a young man reflecting on his life after a robbery gone wrong."
"A Poem Is a Naked Person","https://www.criterionchannel.com/a-poem-is-a-naked-person","https://vhx.imgix.net/criterionchannelchartersu/assets/0ec7dcda-e34f-405e-a570-8d2fad7a5f32.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Les Blank","United States,","1974","Directed by Les Blank • 1974 • United States

Les Blank considered this free-form feature documentary about beloved singer-songwriter Leon Russell, filmed between 1972 and 1974, to be one of his greatest accomplishments. Yet it has not been released until now. Hired by Russell to film him at his recording studio in northeast Oklahoma, Blank ended up constructing a unique, intimate portrait of a musician and his environment. Made up of mesmerizing scenes of Russell and his band performing, both in concert and in the studio, as well as off-the-cuff moments behind the scenes, this singular film - which also features performances by Willie Nelson and George Jones - has attained legendary status over the years. It&#39;s a work of rough beauty that serves as testament to Blank&#39;s cinematic daring and Russell&#39;s immense musical talents."
"Poetic Justice","https://www.criterionchannel.com/poetic-justice","https://vhx.imgix.net/criterionchannelchartersu/assets/e11ed7e3-ce94-411f-9d8d-a236f37ede4d.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hollis Frampton","United States,","1972","Directed by Hollis Frampton • 1972 • United States

Presented here is the second film of Hollis Frampton’s seven-film Hapax Legomena cycle, the title of which means ‘things said one time.’ Frampton considered the works in the cycle to be interrelated, but also to be ‘detachable parts.’"
"Poetry","https://www.criterionchannel.com/poetry","https://vhx.imgix.net/criterionchannelchartersu/assets/d3c59968-6d70-4cc3-9901-38da43bdb229.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Lee Chang-dong","South Korea,","2010","Directed by Lee Chang-dong • 2010 • South Korea
Starring Yoon Jeong-hee, Lee Da-wit, Kim Hee-ra

Lee Chang-dong’s follow-up to his acclaimed SECRET SUNSHINE is an exquisite story about the power of art to bear witness to both sublime beauty and the violent truths that lie hidden in the hearts of men. Korean cinema legend Yoon Jeong-hee delivers a stunning performance as Mija, an aging part-time maid and full-time guardian of her apathetic grandson (Lee Da-wit). Concerned by her frequent forgetfulness, she takes a poetry class at the local arts center to sharpen her mind. She begins to appreciate the wonders of the natural world, but a schoolgirl’s suicide initiates a chain of tragic events that will change her life forever."
"Poil de carotte","https://www.criterionchannel.com/poil-de-carotte","https://vhx.imgix.net/criterionchannelchartersu/assets/c00ad7f1-4328-4fe6-9bff-285e9ad24d9c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Julien Duvivier","France,","1932","Directed by Julien Duvivier • 1932 • France

Julien Duvivier remade his own silent adaptation of a popular turn-of-the-twentieth-century novella and play for the sound era, resulting in one of his most beloved films. In a tremendously moving performance, Robert Lynen plays the neglected young François, mockingly called Poil de Carotte (Carrottop) by his family for his mop of red hair. Duvivier sensitively charts the rural daily life of a boy desperate to connect with others, especially his distracted father, played by the chameleonic Harry Baur."
"La Pointe Courte","https://www.criterionchannel.com/la-pointe-courte","https://vhx.imgix.net/criterionchannelchartersu/assets/e1a689e3-43db-445b-a0a3-da62d1d1b1eb-43c77249.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Agnès Varda","France,","1955","Directed by Agnès Varda • 1955 • France
Starring Silvia Monfort, Philippe Noiret

The great Agnès Varda’s film career began with this graceful, penetrating study of a marriage on the rocks, set against the backdrop of a small Mediterranean fishing village. Both a stylized depiction of the complicated relationship between a married couple (played by Silvia Monfort and Philippe Noiret) and a documentary-like look at the daily struggles of the locals, Varda’s discursive, gorgeously filmed debut was radical enough to later be considered one of the progenitors of the coming French New Wave."
"Poison","https://www.criterionchannel.com/poison","https://vhx.imgix.net/criterionchannelchartersu/assets/8a06a0f8-e1e0-4020-a7fd-0be9d3c0e415.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Todd Haynes","United States,","1991","Directed by Todd Haynes • 1991 • United States
Starring Edith Meeks, Larry Maxwell, Susan Norman

Inspired by the writings of Jean Genet, Todd Haynes’s debut feature deftly interweaves a trio of transgressive tales—“Hero,” “Horror,” and “Homo”—that build towards a devastating climax. “Hero,” shot in mock-TV-documentary style, tells a bizarre story of suburban patricide and a miraculous flight from justice; “Horror,” filmed like a delirious 1950s B-movie melodrama, is a gothic tale of a mad sex experiment that unleashes a disfiguring plague; and “Homo” explores the obsessive sexual relationship between two prison inmates. Winner of the Grand Jury Prize at the 1991 Sundance Film Festival, POISON went on to become one of the most controversial and celebrated films of the decade, attacked by right-wing demagogues and heralded as a landmark of the emerging New Queer Cinema movement."
"La poison","https://www.criterionchannel.com/la-poison","https://vhx.imgix.net/criterionchannelchartersu/assets/4106d9be-909d-4ed6-86b0-3bd434b33e49.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Sacha Guitry","France,","1951","Directed by Sacha Guitry • 1951 • France
Starring Michel Simon, Germaine Reuver, Jean Debucourt

The writer, actor, and director Sacha Guitry emerged from the theater to become one of France’s best-known and most inventive filmmakers, and LA POISON marked his first major collaboration with another titan of the screen, the incomparably expressive Michel Simon. With Guitry’s witty dialogue and fleet pacing, this black comedy is the quintessential depiction of a marriage gone sour: after thirty years together, a village gardener (Simon) and his wife (Germaine Reuver) find themselves contemplating how to do away with each other, with the former even planning how he’ll negotiate his eventual criminal trial. Inspired by Guitry’s own post–World War II tangle with the law—a wrongful charge of collaborationism—LA POISON is a blithely caustic broadside against the French legal system and a society all too eager to capitalize on the misfortunes of others."
"Police Story","https://www.criterionchannel.com/police-story-1","https://vhx.imgix.net/criterionchannelchartersu/assets/84424555-78d5-433c-8e09-6c2c1c19322c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jackie Chan","Hong Kong,","1985","“Why use words to sell this movie when you can just show a picture of Jackie Chan breaking glass in a shopping mall?” —Keenan N, postproduction

Directed by Jackie Chan • 1985 • Hong Kong
Starring Jackie Chan, Brigitte Lin, Maggie Cheung

The jaw-dropping set pieces fly fast and furious in Jackie Chan’s breathtakingly inventive martial-arts comedy, a smash hit that made him a worldwide icon of daredevil action spectacle. The director/star/one-man stunt machine plays Ka-Kui, a Hong Kong police inspector who goes rogue to bring down a drug kingpin and protect the case’s star witness (Chinese cinema legend Brigitte Lin) from retribution. Packed wall-to-wall with charmingly goofball slapstick and astoundingly acrobatic fight choreography—including an epic shopping-mall melee of flying fists and shattered glass—POLICE STORY set a new standard for rock-’em-sock-’em mayhem that would influence a generation of filmmakers from Hong Kong to Hollywood."
"Police Story 2","https://www.criterionchannel.com/police-story-2","https://vhx.imgix.net/criterionchannelchartersu/assets/85647db8-ad5e-4bb8-8f21-a3aa7d04bcc2.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jackie Chan","Hong Kong,","1988","Directed by Jackie Chan • 1988 • Hong Kong
Starring Jackie Chan, Maggie Cheung

Jackie Chan followed up the massive success of POLICE STORY with an even bigger box-office hit. Having been demoted to a lowly traffic cop for his, ahem, unorthodox policing methods, Chan’s go-it-alone officer Ka-Kui quits the force in protest. But it isn’t long before he’s back in action, racing the clock to stop a band of serial bombers and win back his much-put-upon girlfriend May (the phenomenal Maggie Cheung, reprising her star-making role). Boasting epic explosions, an awesomely 1980s electro soundtrack, and a showstopping finale—which turns an abandoned warehouse into a life-size pinball machine of cascading oil drums, collapsing scaffolds, and shooting fireworks—POLICE STORY 2 confirmed Chan’s status as a performer of unparalleled grace and daring."
"Le Pont du Nord","https://www.criterionchannel.com/le-pont-du-nord","https://vhx.imgix.net/criterionchannelchartersu/assets/fd7a76df-a3ed-4235-832a-510d84219255.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jacques Rivette","France,","1981","Directed by Jacques Rivette • 1981 • France
Starring Bulle Ogier, Pascale Ogier, Pierre Clémenti 

Perfect strangers Marie (Bulle Ogier) and Baptiste (Bulle’s daughter Pascale Ogier) run into each other three times on an otherwise ordinary day in Paris and decide that fate has brought them together. But why? Just released from jail, Marie discovers that her boyfriend, Julien (Pierre Clémenti), is involved in a dangerous conspiracy and enlists the impulsive, combative Baptiste to help her unravel it. Using the City of Light’s outlying, dilapidated nooks and crannies as his playground, storied French New Waver Jacques Rivette constructs one of his finest cinematic games with LE PONT DU NORD, an entrancing mystery that straddles the line between childlike whimsy and surrealist adventure."
"Pop Aye","https://www.criterionchannel.com/pop-aye","https://vhx.imgix.net/criterionchannelchartersu/assets/2b48c181-d708-4359-bfc0-b5a5f9d08473.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Kirsten Tan","Singapore,","2017","Directed by Kirsten Tan • 2017 • Singapore, Thailand
Starring Thaneth Warakulnukroh, Penpak Sirikul, Chaiwat Khumdee

With immense heart and a splash of surrealism, this wonderfully eccentric road movie traces a journey across Thailand like no other. When Thana (Thaneth Warakulnukroh), a successful Bangkok architect in the midst of a midlife crisis, is reunited with an elephant he knew growing up, he and the lumbering pachyderm embark on an odyssey back to his childhood home in the idyllic Thai countryside, along the way crossing paths with a pair of nonplussed local police officers, a forlorn transgender sex worker, and a mysteriously wise drifter. As the encounters multiply and the bond between man and elephant deepens, filmmaker Kirsten Tan weaves a by turns funny and curiously moving look at the universal search for meaning."
"Porcile","https://www.criterionchannel.com/porcile","https://vhx.imgix.net/criterionchannelchartersu/assets/22188107-584f-463c-b6f9-422d733c5d1c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Pier Paolo Pasolini","Italy,","1969","Directed by Pier Paolo Pasolini • 1969 • Italy, France
Starring Pierre Clémenti, Jean-Pierre Léaud, Alberto Lionello

“I killed my father. I ate human flesh. I quiver with joy.” Provocateur Pier Paolo Pasolini is at his most incendiary in PORCILE (“Pigsty”), a double-edged allegory on fascism, consumerism, and resistance. In one story, a defiant man (Pierre Clémenti) perpetrates increasingly barbaric acts while wandering a mythic, volcanic landscape. In the other, the scion (Jean-Pierre Léaud) of a wealthy, ex-Nazi industrial family conceals a shocking proclivity. Taken together, these stories of transgression form a scathing commentary on postwar European moral rot and the meaning of rebellion in the face of a corrupt world."
"The Pornographers","https://www.criterionchannel.com/the-pornographers","https://vhx.imgix.net/criterionchannelchartersu/assets/05f2c385-58ab-4bc4-add2-925748b425fe.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Shohei Imamura","Japan,","1966","Directed by Shohei Imamura • 1966 • Japan
Starring Shoichi Ozawa, Sumiko Sakamoto, Masaomi Kondo

Subu makes pornographic films. He sees nothing wrong with it. They are an aid to a repressed society, and he uses the money to support his landlady, Haru, and her family. From time to time, Haru shares her bed with Subu, though she believes her dead husband, reincarnated as a carp, disapproves. Director Shohei Imamura has always delighted in the kinky exploits of lowlifes, and in this 1966 classic, he finds subversive humor in the bizarre dynamics of Haru, her Oedipal son, and her daughter, the true object of her pornographer-boyfriend’s obsession. Imamura’s comic treatment of such taboos as voyeurism and incest sparked controversy when the film was released, but THE PORNOGRAPHERS has outlasted its critics, and now seems frankly ahead of its time."
"Les portes de la nuit","https://www.criterionchannel.com/les-portes-de-la-nuit","https://vhx.imgix.net/criterionchannelchartersu/assets/268d120a-fba6-4d26-8149-eb7fe8225ec3.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Marcel Carné","France,","1946","Directed by Marcel Carné • 1946 • France
Starring Yves Montand, Pierre Brasseur, Serge Reggiani

The last of the celebrated collaborations between director Marcel Carné and screenwriter Jacques Prévert (CHILDREN OF PARADISE) unfolds in a dreamily beautiful vision of a wintry, nocturnal Paris shortly after the city’s postwar liberation. It’s there that Jean Diego (Yves Montand in one of his first film roles), a former member of the French underground Resistance, has an encounter with destiny as he meets a long-lost comrade, villains of the war, a prophetic tramp, and a beautiful woman who will draw him into an inexorable tragedy. A richly allegorical evocation of a country reckoning with the guilt and national trauma of World War II and the occupation, LES PORTES DE LA NUIT (“The Gates of the Night”) was a tough sell for postwar audiences looking for escapism, but it can now be appreciated for both its haunting atmosphere and unique fusion of poetic fantasy and bitter reality."
"Port of Call","https://www.criterionchannel.com/port-of-call","https://vhx.imgix.net/criterionchannelchartersu/assets/bcdbca79-e1f1-426c-88d7-8c8f50013353.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ingmar Bergman","Sweden,","1948","Directed by Ingmar Bergman • 1948 • Sweden

In Ingmar Bergman&#39;s PORT OF CALL, Berit, a suicidal young woman living in a working-class port town, unexpectedly falls for Gösta, a sailor on leave. Haunted by a troubled past and held in a vice grip by her domineering mother, Berit begins to hope that her relationship with Gösta might save her from self-destruction."
